Day, Time, Activity, People, Location, Completed, Notes
Sunday, 19.00, Meet and greet + lunch, "Our Team", Airbnb, Done, 
Sunday, 21.00, Timeline workshop, "Our Team", Airbnb, Done, [See post]({% link _posts/2018-01-14-timeline.md %})
,,,,,,
Monday, 09.30, Kick Off, "Our Team, Kevin", City Hall, Done, See diary
Monday, 10.15, Intro Session, "Our Team, Matt", City Hall, Done, See Diary
Monday, 11.00, Team Alignment Excercise, "Our Team", City Hall, Done, See Diary
Monday, 13.00, Lunch, "Our Team", City Hall, 13.30, ""
Monday, 14.30, Into with Phil-QoLS, "Our Team, Kevin, Phil", City Hall, Done, See Diary
Monday, 15.30, Stratgy Meeting, "Our Team, Kevin, James, Rob", City Hall, Done, See Diary
Monday, 16.00, Team Coding , "Our Team", City Hall, Done, ""
Monday, 17.00, Retrospective, "Our Team", City Hall, Done, See posts file
Monday, 18.00, Finish, , ,18.30, ""
,,,,,,
Tuesday, 09.30, External Comms, "Our Team", The Watershed, Done, ""
Tuesday, 10.00, Data Vis Sharing Session, "Our Team", The Watershed, Done, see google doc
Tuesday, 10.45, Reviwe and Map Inteviews, "Our Team", The Watershed, Done, "See diary, map"
Tuesday, 13.00, Lunch, "Our Team", Wokiyo, Done, "See map"
Tuesday, 14.00, Feild Work - Walk around, "Our Team", Southville, Done, "See map"
Tuesday, 15.00, Co-Writing, "Our Team", BS3 Community Center, Done, "See diary"
Tuesday, 15.30, Feild Work - Community Conversations, "Our Team", BS3 Community Center, Done,""
Tuesday, 16.30, Mapping the Feild Session, "Our Team", City Hall, 17.00, ""
Tuesday, 18.00, Open Data Platform Launch, "Our Team, Matt, Open Data Community", City Hall, Done, ""
Tuesday, 20.00, Break for dinner, "Our Team", Cliffton Hill, Done, ""
Tuesday, 22.00, Retrospective, "Our Team", Air B and B, Done, See posts file
Tuesday, 23.00, Finish, , , , ""
,,,,,,
Wednesday, 09.00, External Comms, "Our Team", Air B and B, Done, ""
Wednesday, 09.45, Planning for the day, "Our Team", City Hall, Done, ""
Wednesday, 10.00, "Individual data research, share", "Our Team", City Hall, Done, See diary
Wednesday, 12.00, Documentation, "Our Team", City Hall, Done, ""
Wednesday, 13.00, Lunch with Victoria , "Our Team", Watershed, 13.45, ""
Wednesday, 14.00, Disscussion , "Our Team", Watershed, 14.15, ""
Wednesday, 14.30, Ideation Sketches Round 1 , "Our Team", Watershed, done, ""
Wednesday, 15.30, Ideation Sketches Round 2 , "Our Team", Watershed, 13.45, done
Wednesday, 16.30, Project Identification Disscussion , "Our Team", Watershed, 13.45, done
Wednesday, 17.45, Break for dinner , "Our Team", Watershed, , ""
Wednesday, 20.00, Documentation, "Our Team", Air b and b, , ""
Wednesday, 21.00, Co-writing, "Our Team", Air b and b, , ""
Wednesday, 21.30, Retrospective, "Our Team", Air b and b, ,See posts file
,,,,,,
Thursday, 09.00, "Tour, Intro", "Our Team, Seamus", Data Dome, , 
Thursday, 10.00, Planning for the day, "Our Team", , , 
Thursday, 00.00, , , "Our Team", , 
Thursday, 00.00, , "Our Team", , , 
Thursday, 13.00, Lunch, "Our Team", Knowels West, , 
Thursday, 00.00, , , , , 
Thursday, 00.00, , , , , 
Thursday, 00.00, , , , , 
Thursday, 00.00, , , , , 
Thursday, 00.00, , , , , 
Thursday, 00.00, , , , , 
,,,,,,
Friday, 00.00, , , , , 
Friday, 00.00, , , , , 
Friday, 11.30, "Interview, Jean Golding Inst.", "Our Team, Patrica", Jean Golding Inst., , 
Friday, 00.00, , , , , 
Friday, 13.00, Lunch, "Our Team", , , 
Friday, 14.00, Presentation , "Our Team, Matt, Kevin", City Hall, , 
Friday, 16.00, , , , , 
Friday, 00.00, , , , , 
